epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,47702.8,1.26696,0.84647,1.20596,1,1,0.995,0.995,1.26315,0.73462,1.23989,0.0076735,0.0076735,0.0076735
49,48710.5,1.2644,0.83936,1.20514,1,1,0.995,0.995,1.26202,0.73297,1.23906,0.007624,0.007624,0.007624
50,49699.6,1.26047,0.83895,1.20611,1,1,0.995,0.995,1.26039,0.73139,1.23824,0.0075745,0.0075745,0.0075745
51,50693,1.25157,0.8285,1.19777,1,1,0.995,0.995,1.25875,0.72968,1.23708,0.007525,0.007525,0.007525
52,51742.5,1.25325,0.82767,1.19862,1,1,0.995,0.995,1.25735,0.72806,1.2362,0.0074755,0.0074755,0.0074755
53,52800.9,1.25223,0.82528,1.19937,1,1,0.995,0.995,1.25579,0.72623,1.23515,0.007426,0.007426,0.007426
54,54150.6,1.24959,0.825,1.19611,1,1,0.995,0.995,1.25409,0.72454,1.23392,0.0073765,0.0073765,0.0073765
55,55609.9,1.25341,0.82793,1.19767,1,1,0.995,0.995,1.25221,0.72253,1.23282,0.007327,0.007327,0.007327
56,57059.3,1.24682,0.81539,1.19472,1,1,0.995,0.995,1.25046,0.72111,1.23173,0.0072775,0.0072775,0.0072775
57,58476.2,1.24001,0.81452,1.19292,1,1,0.995,0.995,1.249,0.71955,1.23085,0.007228,0.007228,0.007228
58,59876.4,1.24176,0.81087,1.19376,1,1,0.995,0.995,1.24719,0.71759,1.22962,0.0071785,0.0071785,0.0071785
59,61369.6,1.24288,0.81082,1.19439,1,1,0.995,0.995,1.24476,0.71584,1.22837,0.007129,0.007129,0.007129
60,62764.8,1.23564,0.81182,1.19082,1,1,0.995,0.995,1.24267,0.71429,1.22749,0.0070795,0.0070795,0.0070795
61,64264.3,1.2307,0.80465,1.18648,1,1,0.995,0.995,1.24042,0.71256,1.22626,0.00703,0.00703,0.00703
62,65745.7,1.23091,0.80192,1.18435,1,1,0.995,0.995,1.23793,0.71114,1.22499,0.0069805,0.0069805,0.0069805
63,66967.7,1.23331,0.80514,1.18965,1,1,0.995,0.995,1.23571,0.7092,1.22367,0.006931,0.006931,0.006931
64,67917.4,1.22496,0.79962,1.18237,1,1,0.995,0.995,1.23384,0.70707,1.2226,0.0068815,0.0068815,0.0068815
65,68868.9,1.22514,0.79665,1.18123,1,1,0.995,0.995,1.23162,0.7057,1.22148,0.006832,0.006832,0.006832
66,69822,1.21851,0.7903,1.17744,1,1,0.995,0.995,1.22969,0.70368,1.22023,0.0067825,0.0067825,0.0067825
67,70813.8,1.22312,0.79376,1.17984,1,1,0.995,0.995,1.22748,0.70124,1.21891,0.006733,0.006733,0.006733
68,71781.8,1.2197,0.79059,1.17929,1,1,0.995,0.995,1.22505,0.69971,1.2175,0.0066835,0.0066835,0.0066835
69,72741.2,1.21014,0.78686,1.17598,1,1,0.995,0.995,1.22273,0.6978,1.21618,0.006634,0.006634,0.006634
70,73706.7,1.21268,0.78592,1.17424,1,1,0.995,0.995,1.22049,0.69653,1.21488,0.0065845,0.0065845,0.0065845
71,74670.7,1.21457,0.7879,1.1806,1,1,0.995,0.995,1.21814,0.69485,1.21374,0.006535,0.006535,0.006535
72,75631.1,1.20971,0.7821,1.17322,1,1,0.995,0.995,1.2159,0.6935,1.21228,0.0064855,0.0064855,0.0064855
73,76608.5,1.20564,0.77703,1.17,1,1,0.995,0.995,1.21355,0.69155,1.21096,0.006436,0.006436,0.006436
74,77579.4,1.20467,0.77917,1.16976,1,1,0.995,0.995,1.21153,0.69019,1.20992,0.0063865,0.0063865,0.0063865
75,78537.7,1.1991,0.77252,1.16674,1,1,0.995,0.995,1.20949,0.68868,1.20869,0.006337,0.006337,0.006337
76,79494.3,1.19678,0.77177,1.1659,1,1,0.995,0.995,1.20718,0.68706,1.20725,0.0062875,0.0062875,0.0062875
77,80451.9,1.18869,0.76267,1.16139,1,1,0.995,0.995,1.20502,0.68524,1.20605,0.006238,0.006238,0.006238
78,81410.6,1.19344,0.76946,1.16588,1,1,0.995,0.995,1.20303,0.68333,1.20487,0.0061885,0.0061885,0.0061885
79,82383.1,1.19488,0.76386,1.16951,1,1,0.995,0.995,1.20069,0.68178,1.20356,0.006139,0.006139,0.006139
